Consumer_Defensive       OTLY           : 1636.00%  燕麦奶, 奶制品, 植物奶, 瑞典
Real_Estate              DLR            :   0.83%  数据中心, 互联托管
Financial_Services       PYPL.*.++      :   0.83%  在线支付
Financial_Services       BOKF           :   0.83%  金融控股银行, 抵押贷款, 美国
Healthcare               CI             :   0.83%  信诺保险, 牙科、药房、视力保险产品, 医疗保险, 健康保险
Financial_Services       PJT            :   0.83%  投资银行, 战略咨询, 私募配售, 并购咨询
Real_Estate              NSA            :   0.83%  自助存储, 仓储租赁, 公共仓库, 仓库, 房地产
Healthcare               UHS            :   0.83%  全科医院, 美国
Financial_Services       V.*            :   0.83%  支付, 信用卡, 全球, 借记卡, 预付卡
Healthcare               GRFS           :   0.82%  基立福, 血浆衍生药物生产商, 血浆, 西班牙, 医疗保健
Technology               QCOM.*.++      :   0.82%  高通, 移动芯片, 无线通信, 专利授权, 射频芯片, 汽车芯片, 物联网设备芯片, 传统半导体, 美国
Basic_Materials          WFG            :   0.82%  木材, 加拿大
Financial_Services       SNV.++         :   0.81%  金融, 银行, 抵押贷款, 美国
Financial_Services       BRK-A          :   0.81%  伯克希尔哈撒韦, 沃伦巴菲特, 保险, 铁路, 能源
Industrials              CSX.*.++       :   0.81%  加拿大, 铁路运输, 美国
Real_Estate              STWD.++        :   0.81%  房地产投资信托, 抵押贷款支持证券
Energy                   OKE            :   0.81%  天然气, 天然气液体, 管道运输储存
Technology               CRWD           :   0.80%  网络安全, 企业软件, 人工智能, 机器学习, 科技, 云安全, AI
Financial_Services       ARES.++        :   0.80%  资产管理, 信贷, 私募, 房地产
Industrials              SNDR           :   0.80%  卡车运输, 运输, 物流, 货运, 北美
Technology               JKHY           :   0.80%  为银行和信用合作社提供集成技术解决方案和数据服务
Consumer_Cyclical        SON.18         :   0.80%  消费品包装, 工业包装, 包装
Financial_Services       RNR            :   0.79%  文艺复兴, 保险服务, 再保险
Healthcare               MDGL           :   0.79%  生物制药, 非酒精性脂肪肝
Financial_Services       CB             :   0.79%  安达保险, 保险, 四大保险公司之一, 伯克希尔哈撒韦, 美国
Financial_Services       CACC.++        :   0.79%  汽车经销商, 汽车融资, 汽车贷款
Financial_Services       BRO            :   0.79%  保险, 再保险, 保险经纪
Technology               WK             :   0.79%  企业软件, 生成报告, 合规管理, Workiva, SaaS
Industrials              UNP            :   0.78%  联合太平洋, 铁路, 运输, 货运, 物流
Basic_Materials          CTVA.++        :   0.78%  科迪华, 农业, 种子, 大豆, 玉米, 农作物, 小麦, 育种, 美国
Technology               PAYX           :   0.78%  人力资源, 企业软件, 薪酬管理, 云计算
Technology               OKTA           :   0.78%  云计算, 身份识别, 身份验证, 企业软件, 权限控制
Communication_Services   T.*.++         :   0.77%  电信, 电信运营商, 美国
Financial_Services       FAF.++         :   0.77%  房地产, 产权保险
Communication_Services   Z.++           :   0.76%  在线房地产, 信息服务
Utilities                OGE.19         :   0.76%  天然气, 电力, 发电, 输电, 配电, 美国
Basic_Materials          BHP.17         :   0.76%  必和必拓, 石油, 矿产, 铁矿石, 第三大, 铜, 铜矿, 铝煤炭铀
Financial_Services       SPGI           :   0.76%  提供标准普尔指数, 指数, 评级, 分析
Energy                   KMI.*          :   0.75%  天然气原油管道运输, 存储, 分销
Consumer_Defensive       LANC           :   0.75%  兰卡斯特, 食品, 沙拉酱, 冷冻面包甜点
Financial_Services       AEG.20         :   0.75%  荷兰全球保险, 保险, 养老金, 资产管理
Financial_Services       HIG            :   0.75%  保险, 金融服务, 最大保险公司之一, 美国
Communication_Services   NXST.++        :   0.75%  广播电视, 数字媒体, 美国
Industrials              PWR.20         :   0.75%  电力传输, 油气管道, 光纤通信
Technology               SHOP.*.++      :   0.75%  电子商务, 网店, 加拿大
Technology               TEAM           :   0.75%  澳大利亚, 团队协作, 项目管理, 软件开发
Utilities                IDA.20         :   0.75%  电力, 发电, 输电, 配电, 美国
Industrials              NVT.+          :   0.75%  电气连接, 电气保护, 数据中心, 冷却, AI
Consumer_Cyclical        AS.++          :   0.74%  亚玛芬, 体育用品, 户外用品, 零售
Technology               CRM.*          :   0.74%  客户关系管理, 云计算
Financial_Services       BNT.++         :   0.74%  金融, 退休服务, 财富保护, 定制资本
Consumer_Cyclical        VIK            :   0.74%  维京游轮, 利率敏感, 邮轮, 游轮
Financial_Services       CFR            :   0.74%  金融, 银行
Real_Estate              REG            :   0.73%  专注于零售购物中心大型超市的房地产投资信托
Technology               MRVL.*.+       :   0.73%  迈威尔科技, 数据中心, 定制AI芯片, 芯片, 存储, 网络无线, 5G, AI
Industrials              CW             :   0.73%  为航空航天、国防、工业、核电站提供工程产品和服务
Communication_Services   USM.++         :   0.73%  第五大, 电信运营商, 电信, 美国
Financial_Services       AMG.++         :   0.72%  资产管理, 金融
Basic_Materials          BCPC.21.++     :   0.72%  人与动物, 食物, 饮料, 膳食补充剂
Energy                   AM             :   0.72%  石油, 天然气, 天然气液体NGL
Industrials              MDU            :   0.72%  天然气, 电力, 能源
Technology               YMM.*          :   0.71%  满帮集团, 卡车运输, 货运, 中国
Energy                   SU.*           :   0.71%  加拿大, 能源, 石油, 天然气
Financial_Services       SLF            :   0.71%  永明金融, 保险, 财富管理, 退休计划, 投资管理
Consumer_Cyclical        HAS.20.++      :   0.71%  孩之宝, 玩具, 变形金刚, 大富翁GO手游
Utilities                PNW            :   0.71%  电力公共事业, 发电, 电力传输, 电力
Energy                   IEP            :   0.71%  华尔街之狼卡尔伊坎创办, 多元化控股, Carl Icahn
Financial_Services       ALL            :   0.70%  保险, 美国
Energy                   OVV.++         :   0.70%  石油, 天然气, 页岩气, 水力压裂, 美国
Technology               AI             :   0.70%  企业AI, 人工智能, 企业软件, 软件平台, C3 AI Suite
Energy                   DVN.18.*.++    :   0.69%  戴文能源, 石油, 天然气, 勘探, 开发, 页岩气
Financial_Services       EWBC.++        :   0.69%  华美, 银行, 大中华区, 抵押贷款, 美国
Industrials              AAL.*.+        :   0.69%  美国航空, 货运客运, 航空公司
Communication_Services   FOX.++         :   0.69%  福克斯, 媒体集团, 广播娱乐, 媒体, 新闻
Technology               IBM.++         :   0.69%  咨询服务, 混合云, 开源软件
Technology               SAP            :   0.68%  德国, ERP, 软件开发, 欧洲, 云计算
Healthcare               FMS            :   0.68%  肾病服务, 透析
Financial_Services       MA             :   0.68%  万事达卡, 支付, 信用卡, 借记卡
Financial_Services       SEIC           :   0.68%  投资管理, 金融服务, 美国
Industrials              FERG.++        :   0.68%  建筑材料, 管道供暖, 建材
Healthcare               VRTX           :   0.68%  福泰制药, 囊性纤维化, 贫血症, 痛风, I型糖尿病, 自身免疫疾病
Financial_Services       RJF            :   0.68%  瑞杰金融, 金融
Consumer_Cyclical        CPNG.*.++      :   0.67%  韩国, 电子商务
Technology               KEYS.++        :   0.67%  电子测试, 测量仪器, 美国
Technology               GLW.++         :   0.67%  康宁, 玻璃, 显示器, 光纤, 培养皿
Financial_Services       TROW           :   0.66%  共同基金, 投资管理
Financial_Services       UBSI           :   0.66%  社区银行业务, 抵押贷款, 区域性, 美国
Energy                   EQT.18.*.++    :   0.66%  天然气, 页岩气, 水力压裂, LNG, 能源, 美国
Energy                   VAL.20         :   0.65%  华仕伯, 石油, 海上钻井, 能源行业, 天然气
Energy                   TTE.++         :   0.65%  道达尔, 石油, 天然气, 电力, 炼油化工, 能源
Industrials              CR.+           :   0.65%  流体控制, 航空航天, 电子
Energy                   RRC            :   0.65%  天然气, 页岩气, NGL, 石油, 勘探开采
Utilities                NEE.*          :   0.65%  电力, 风电, 太阳能, 核电, 能源
Industrials              MOG-A          :   0.64%  穆格, 精密运动, 流体控制, 航空航天, 工业, 美国
Financial_Services       BN.++          :   0.64%  布鲁克菲尔德, 资产管理, 房地产, 可再生能源, 基础设施, 私募股权
Consumer_Cyclical        MGA            :   0.63%  麦格纳国际, 汽车零部件, 汽车行业
Financial_Services       JEF.++         :   0.63%  杰富瑞, 投资银行, 金融服务
Healthcare               ELAN           :   0.62%  宠物健康, 药品, 疫苗, 宠物
Utilities                SRE.++         :   0.62%  墨西哥, 南美, 电力, 天然气, 公共事业
Utilities                EVRG           :   0.62%  电力, 发电, 输电配电, 美国
Healthcare               UTHR.19.+      :   0.61%  生物制药, 肺动脉高压
Industrials              UHAL.++        :   0.61%  搬家, 存储租赁, 房地产, 房地产你, 美国
Financial_Services       FNF.20.++      :   0.60%  产权保险, 抵押贷款
Financial_Services       IBKR           :   0.60%  盈透证券, 金融服务
Financial_Services       HOMB           :   0.60%  区域性银行, 银行, 美国
Industrials              IEX.+          :   0.59%  流体与计量技术, 工程解决方案
Consumer_Defensive       MDLZ.*         :   0.59%  亿滋国际, 食品, 零食, 奥利奥饼干, 吉百利巧克力, 卡夫食品分拆
Consumer_Cyclical        BURL           :   0.59%  伯灵顿百货, 折扣
Communication_Services   PSO.++         :   0.59%  英国, 培生集团, 跨国教育, 出版, 教育
Communication_Services   LYV.20.++      :   0.59%  娱乐, 演唱会, 票务
Real_Estate              TRNO           :   0.58%  工业房地产, 沿海市场, 房地产
Technology               ADP            :   0.58%  云计算, 人力资源管理, 美国
Financial_Services       WTW            :   0.58%  数据分析精算, 风险管理, 保险经纪, 咨询服务, 再保险
Financial_Services       AXP.++         :   0.58%  运通, 巴菲特持股, 美国
Real_Estate              AGNC.*.++      :   0.58%  房地产投资信托基金, 抵押贷款按揭证券
Technology               KVYO.19        :   0.57%  电子商务, 通过邮件短信推送个性化营销信息, 营销自动化, 营销, 短信推送
Technology               NOVT           :   0.57%  激光解决方案, 激光, 精密运动控制, 医疗设备, 工业制造
Financial_Services       MMC            :   0.57%  保险经纪, 再保险, 人力财务咨询
Basic_Materials          RS.19.++       :   0.57%  Reliance, 钢铁, 分销, 金属, 印度
Energy                   RIG.17.*       :   0.57%  海上钻井, 油气钻探, 石油, 天然气, 能源行业, 页岩气
Financial_Services       FFIN           :   0.56%  德克萨斯州, 区域性银行, 抵押贷款, 美国
Healthcare               AMGN           :   0.56%  安进, 减肥药, MariTide, 生物医药, 高胆固醇血症, 癌症, 骨质疏松
Industrials              NOC            :   0.56%  诺斯罗普格鲁门, 雷达军舰制造, 卫星发射, 军工, 政府承包商, B21轰炸机, 国防, 政府服务, 美国
Basic_Materials          ECL            :   0.56%  艺康, 水处理, 清洁, 消毒, 杀虫, 用水安全, 水质管理
Healthcare               VTRS.*         :   0.56%  医疗保健, 仿制药, 生物制药
Utilities                LNT.20.++      :   0.55%  巴尔的摩能源, 电力, 天然气, 公共事业
Real_Estate              WELL           :   0.55%  房地产, 老年人辅助生活记忆保健社区, 急症后护理, 医疗办公楼, 老年人住房, 医院
Industrials              PCAR.++        :   0.55%  重型卡车制造商, 卡车
Utilities                SWX            :   0.54%  西南燃气, 天然气运输分销, 能源, 天然气
Consumer_Cyclical        BOOT.++        :   0.54%  西部风格, 服装, 鞋, 靴子, 牛仔裤
Consumer_Cyclical        TPX.20.++      :   0.54%  床上用品, 床垫, 枕头
Industrials              LSTR.+         :   0.54%  北美, 物流, 卡车运输, 供应链, 空运, 海运, 货运
Real_Estate              SPG            :   0.53%  西蒙地产, 房地产, 投资信托, 购物中心
Financial_Services       RGA            :   0.53%  人寿健康再保险, 保险, 再保险, 美国
Energy                   CVX.*          :   0.53%  雪佛龙, 石油, 天然气, 能源, 勘探, 炼油
Financial_Services       ERIE           :   0.53%  伊瑞保险, 保险, 美国
Consumer_Defensive       ABEV.*.++      :   0.53%  啤酒, 饮料, 巴西
Healthcare               DGX.++         :   0.52%  诊断信息服务, 临床实验室, 医疗诊断
Financial_Services       BMA            :   0.52%  阿根廷, 银行
Financial_Services       L              :   0.52%  保险, 能源, 酒店, 包装
Industrials              LPX.19.++      :   0.52%  建筑材料, 定向刨花板, 外墙挂板, 工程木制品
Industrials              CNM.++         :   0.52%  市政水务, 废水处理, 水资源
Energy                   NOV            :   0.51%  石油, 天然气, 钻探生产, 油田设备部件供应商
Communication_Services   VZ.*           :   0.51%  威瑞森通信, 电信, 电信运营商, 美国
Basic_Materials          VALE.19.*.++   :   0.51%  淡水河谷, 铁矿石, 巴西
Technology               ERIC.*         :   0.51%  瑞典, 爱立信, 通讯, 电信设备, 电信, 5G
Financial_Services       PGR.19.++      :   0.51%  前进保险, 汽车保险, 房屋保险, 保险, 美国
Financial_Services       TD             :   0.50%  多伦多道明银行, 银行, 加拿大
Real_Estate              SBAC           :   0.50%  无线通讯基础设施, 通信塔, 小型基站
Healthcare               GEHC           :   0.50%  医疗影像, 通用电气分拆, 磁共振成像, CT, 超声波诊断
Consumer_Cyclical        DECK           :   0.50%  鞋, UGG, 户外, 凉鞋, Hoka, Teva
Consumer_Defensive       PEP.*          :   0.50%  百事可乐, 可乐, 食品, 碳酸饮料, 零食, 饮料
Financial_Services       PUK            :   0.49%  英国保诚, 保险, 金融服务
Technology               ARM            :   0.49%  Meme, 芯片, AI, 半导体, 模因
Healthcare               HQY            :   0.49%  医疗储蓄账户, 医疗保健, HQY, 美国
Technology               SSNC.++        :   0.47%  企业软件, 赋能金融和医疗保健行业, 软件技术解决方案
Technology               SNPS           :   0.47%  新思, 电子设计自动化工具, EDA, 工业设计, 集成电路, 芯片, 半导体, 工业软件, 设计
Financial_Services       HDB.+          :   0.46%  印度, 银行
Financial_Services       SIGI           :   0.46%  保险, 美国
Financial_Services       RKT.20.++      :   0.46%  金融科技, 在线抵押贷款, 房地产, 抵押贷款, 在线贷款
Utilities                NI.++          :   0.45%  电力, 天然气
Consumer_Defensive       TAP.++         :   0.45%  啤酒酿造, 啤酒
Industrials              AME            :   0.45%  电子仪器, 机电设备
Technology               ST.++          :   0.44%  传感器, 保护控制器, 汽车行业
Consumer_Cyclical        WING.19        :   0.44%  连锁, 炸鸡翅, 餐厅, 餐饮, 食品
Industrials              CHRW.++        :   0.43%  罗宾逊, 运输经纪, 北美
Industrials              CSWI.++        :   0.43%  专业化学品, 密封材料, 机械零部件, 建筑产品
Consumer_Cyclical        SBUX.*         :   0.43%  星巴克, 咖啡零售, 连锁
Healthcare               PHG.19         :   0.43%  荷兰, 飞利浦, 照明, 医疗, 电器
Technology               KSPI           :   0.42%  哈萨克斯坦, 电子商务, 支付平台, 扩张到土耳其
Technology               ACIW           :   0.42%  电子支付解决方案提供商, 金融安全, 欺诈管理
Industrials              FCN.20         :   0.42%  商业咨询, 战略重组, 法律诉讼, 网络技术
Technology               PCTY           :   0.41%  云计算, 人力资源薪酬管理
Consumer_Cyclical        HTHT.++        :   0.41%  华住, 房地产, 酒店, 汉庭, 住宿
Real_Estate              BXP            :   0.41%  波士顿地产, 房地产, 办公楼, 高端物业
Communication_Services   CHTR           :   0.41%  特许通讯, 第二大, 有线电视运营商, 有线电视, 美国
Financial_Services       ESGR.18.++     :   0.41%  保险, 再保险
Financial_Services       NDAQ           :   0.41%  纳斯达克, 证券交易所, 全球第二
Consumer_Defensive       CL             :   0.41%  高露洁, 口腔护理, 牙膏, 牙刷
Real_Estate              WY             :   0.41%  林业管理, 木材产品, 房地产
Financial_Services       BLK            :   0.40%  贝莱德, 资产管理, 贷款, 金融
Communication_Services   NWS.++         :   0.40%  新闻集团, 默多克, Fox, 福克斯, 媒体, 数字房地产, 图书出版
Real_Estate              EPR-PG.++      :   0.40%  房地产, 投资信托, 体验式和教育领域
Financial_Services       USB.*.+        :   0.40%  合众银行, 美国
Technology               NVDA.*.++      :   0.40%  英伟达, AI, 芯片, CUDA, 半导体, 显卡
Utilities                DTE.++         :   0.40%  电力, 发电, 配电, 天然气供应, 能源
Healthcare               A              :   0.39%  生命科学仪器, 色谱仪, 质谱仪, 光谱仪
Industrials              ACA.20         :   0.39%  基础设施, 建筑产品, 建筑材料, 工程, 美国
Energy                   PBA            :   0.39%  石油, 天然气, 运输加工储存
Financial_Services       PRI            :   0.38%  北美, 人寿保险, 投资基金, 年金
Industrials              MMS.++         :   0.38%  马克西姆, 政府服务, 政府承包商, 医疗补助, 健康保险
Real_Estate              PLD            :   0.38%  工业房地产, 物流仓储, 供应链
Industrials              RYAAY          :   0.37%  瑞安航空, 爱尔兰, 低成本廉价航空
Utilities                AEP.+          :   0.36%  美国电力, 电力, 天然气, 公共事业
Utilities                SO.20          :   0.36%  美国南方, 电力, 能源
Real_Estate              VTR.++         :   0.36%  老年人住宅, 医疗办公楼, 后期护理设施, 房地产
Technology               AFRM.*.++      :   0.36%  消费金融, 支付, 分期付款, 先买后付
Utilities                PAM.++         :   0.36%  阿根廷, 能源, 电力, 发电, 石油, 石化, 天然气
Financial_Services       ORI            :   0.36%  保险, 美国
Real_Estate              MAA.++         :   0.36%  房地产投资信托, 房地产
Consumer_Cyclical        AN.++          :   0.35%  汽车零售, 抵押贷款, 汽车贷款, 美国
Consumer_Defensive       FMX.21.++      :   0.35%  可口可乐瓶装, 可口可乐, 墨西哥, 连锁, 便利店
Healthcare               QGEN           :   0.35%  生物科学, 分子诊断, 药物开发
Technology               BILL           :   0.35%  云计算, 金融服务软件, 中小企业, 财务会计, 软件平台
Industrials              KBR            :   0.35%  工程, 建筑
Financial_Services       ARCC.++        :   0.34%  商业发展, 直接贷款, 股权投资, 并购融资
Healthcare               MRK.*          :   0.34%  默沙东, 药王, Keytruda, 生物医药, 美国
Industrials              CPRT.20        :   0.34%  在线汽车拍卖, 车辆再营销, 汽车拍卖, 车辆拍卖
Technology               TWLO.*         :   0.33%  云通讯平台, 提供API接口
Consumer_Cyclical        KMX.++         :   0.33%  车美仕, 二手车零售, 抵押贷款, 二手车, 美国
Financial_Services       EQH.++         :   0.33%  保险, 人寿, 退休, 理财, 年金
Technology               HPE.*.++       :   0.32%  惠普, 专注企业客户, 数据中心, AI服务器, 服务器, AI
Consumer_Defensive       KVUE.*.++      :   0.32%  李施德林, Tylenol泰诺, 强生拆分, 个人护理, 健康产品
Financial_Services       FHN.+          :   0.32%  第一地平线, 区域性银行, 美国
Financial_Services       COF.++         :   0.32%  第一资本, 信用卡, 金融, 美国
Industrials              TKR.++         :   0.31%  圆锥滚子轴承, 齿轮链条离合器, 汽车行业, 轴承, 传动系统
Healthcare               GH.20.++       :   0.31%  癌症检测, 医疗诊断, 液体活检, Guardant360
Financial_Services       MKTX.+         :   0.31%  金融, 电子交易, 固定收益债券
Financial_Services       MKL            :   0.31%  保险, 再保险, 专业保险
Technology               ENTG           :   0.31%  英特格, 高性能材料, 半导体, 材料, 服务于半导体行业, 传统半导体
Energy                   EQNR.*         :   0.30%  挪威, 国有, 能源, 石油, 天然气, 海上风电, 可再生能源
Industrials              BA.*           :   0.30%  波音, 飞机制造, 飞机, 五大军事承包商之一, 美国
Consumer_Cyclical        MTH.+          :   0.30%  房地产, 节能住宅, 智能家居
Technology               MSFT.*         :   0.30%  微软, 软件开发, office, AI, 操作系统
Financial_Services       CM.++          :   0.29%  帝国银行, 加拿大
Financial_Services       BMO.++         :   0.29%  蒙特利尔银行, 加拿大, 银行
Consumer_Cyclical        YUMC.+         :   0.28%  百胜, 中国, 肯德基, 必胜客, 小肥羊, 黄记煌
Real_Estate              UDR            :   0.28%  房地产, 多户型公寓, 住宅物业
Basic_Materials          APD.++         :   0.28%  工业气体, 化学产品
Utilities                AEE            :   0.28%  公共事业, 电力, 天然气, 美国
Industrials              GD             :   0.27%  通用动力, 国防, 军工, 五大军事承包商之一, 政府承包商, 政府服务, 美国
Energy                   E.++           :   0.27%  意大利, 石油, 天然气, 超级计算机, HPC6
Industrials              WM.++          :   0.27%  废物回收管理, 废物处理, 美国
Technology               VRNS.++        :   0.27%  面向企业, 数据安全, 数据分析, 云计算
Consumer_Defensive       CLX            :   0.27%  高乐氏, 家庭清洁, 健康保健
Industrials              RBA.18.++      :   0.27%  工业设备拍卖
Financial_Services       WRB            :   0.27%  保险, 柏克利
Consumer_Defensive       KO.*           :   0.26%  可口可乐, 可乐, 雪碧, 芬达, 金典, 巴菲特, 美国
Energy                   SM.19          :   0.26%  石油, 天然气, 勘探开发, 页岩气, 美国, 二叠纪盆地
Technology               CFLT.*         :   0.26%  实时数据处理, 数据分析, 数据流平台, Apache Kafka
Financial_Services       PDI.+          :   0.26%  债券投资管理, 太平洋投资, 封闭式基金, 债券基金, 私募基金
Technology               INGM.++        :   0.25%  技术分销, IT, 云计算, 软件平台, 软件开发
Technology               ALTR.20.++     :   0.25%  工业领域设计工具, CAE, 工业设计
Real_Estate              CPT            :   0.25%  房地产, 多户住宅, 公寓楼
Industrials              MMM            :   0.25%  多元化, 工业用品, 医疗保健, 消费品, 电子用品
Financial_Services       MTG.++         :   0.24%  从事私人抵押贷款保险业务, 抵押贷款保险
Consumer_Cyclical        ROST           :   0.24%  罗斯百货, 折扣
Real_Estate              FR             :   0.23%  房地产投资信托, 工业地产
Technology               ON.*.++        :   0.23%  安森美, 传统半导体, 汽车芯片, 独立自摩托罗拉
Consumer_Cyclical        RRR.++         :   0.23%  赌博, 博彩, 度假村, 美国
Real_Estate              KRG            :   0.22%  房地产投资信托
Industrials              TXT            :   0.22%  贝尔直升机, 商用飞机, 军事装备, 工业产品
Technology               APH.*          :   0.22%  电子连接器, 光纤电缆, AI
Healthcare               RDNT           :   0.21%  医疗, 影像诊断, 检查, MRI, CT, PET, X射线, 门诊成像中心
Technology               FLEX.+         :   0.21%  伟创力, 电子制造服务, EMS, 工业制造, AI, 金属塑料的高精度制造, 新加坡
Industrials              AWI.++         :   0.21%  工业吊顶, 天花板, 地板, 装修, 工业装修, 工业
Financial_Services       AMP.++         :   0.21%  金融, 拆分自美国运通, 美国
Financial_Services       PRU            :   0.21%  保德信金融集团, 人寿保险, 年金, 退休服务
Consumer_Cyclical        THO.++         :   0.20%  索尔工业, 房车, 利率敏感, 美国
Consumer_Cyclical        QSR            :   0.20%  加拿大, 快餐连锁, 汉堡王
Consumer_Defensive       KR             :   0.20%  连锁, 仅次于沃尔玛, 克罗格, 超市, 美国
Industrials              CAT            :   0.19%  卡特彼勒, 重型机械, 工程设备制造
Technology               BDC.++         :   0.19%  信号传输, 网络基础设施, 电缆, 网络设备, 工业, 工业自动化, 美国
Technology               KD.++          :   0.19%  IBM分拆, IT基础设施, 云服务, 数据, AI
Industrials              ESLT.+         :   0.19%  以色列, 国防, 无人机, 电子战系统, 武器
Technology               SNX.+          :   0.19%  信息技术, IT产品, 分销, 解决方案
Technology               CACI           :   0.19%  国防, 情报, 高科技解决方案, 政府服务, 政府承包商
Consumer_Cyclical        DPZ            :   0.18%  达美乐披萨, 快餐, 连锁, 餐厅, 食品
Basic_Materials          SQM            :   0.18%  智利, 锂, 碘, 硝酸盐
Basic_Materials          KGC.*          :   0.18%  金罗斯黄金, 加拿大, 黄金白银开采, 贵金属, 黄金
Technology               EXLS           :   0.18%  云计算, 业务流程管理
Consumer_Defensive       DEO            :   0.18%  帝亚吉欧, 酒精饮料, Johnnie Walker, Smirnoff, 百利Baileys, 水井坊, Guinness, 烈酒
Healthcare               MEDP           :   0.18%  临床合同研究组织CRO, 外包临床开发服务, 临床
Basic_Materials          HMY.*          :   0.18%  南非, 哈莫尼黄金, 黄金开采, 贵金属, 黄金
Technology               CLS.++         :   0.17%  天弘科技, 电子制造服务, 加拿大, EMS, AI
Financial_Services       TW             :   0.17%  电子交易, 债券, ETF, 金融, 美国
Consumer_Cyclical        RACE.++        :   0.17%  法拉利, 豪华跑车制造商, 意大利, 跑车, 汽车, 奢侈品
Basic_Materials          SCCO           :   0.16%  南方铜业, 墨西哥, 秘鲁
Basic_Materials          AXTA           :   0.16%  涂料, 工业, 杜邦分拆
Technology               JBL.+          :   0.16%  捷普, 电子制造, 给苹果供应零部件, 也供应汽车和医疗
Financial_Services       DFS.++         :   0.16%  信用卡, 贷款
Healthcare               HCA            :   0.16%  医院运营, 急症后护理, 手术中心, 护理, 医院, 美国
Consumer_Cyclical        ETSY.19.*.++   :   0.16%  电子商务, 手工制品, 复古商品
Industrials              AYI.++         :   0.15%  照明, 灯具, 建筑材料, 美国
Basic_Materials          CX.*.++        :   0.15%  墨西哥, 建材, 水泥, 低碳混凝土
Financial_Services       ACGL           :   0.15%  保险, 再保险
Healthcare               BDX            :   0.15%  碧迪, 输液泵, 医疗仪器, 医疗设备
Healthcare               STE.++         :   0.15%  感染预防, 灭菌, 手术支持
Utilities                WEC            :   0.14%  公共事业, 电力, 天然气, 风电, 太阳能, 可再生能源
Healthcare               SOLV           :   0.13%  舒万诺, 伤口护理, 口腔护理, 3M分拆
Financial_Services       SYF.++         :   0.12%  消费者金融服务, 信用卡, 分期贷款, 金融
Technology               ZM             :   0.12%  视频会议, 云端通讯
Healthcare               PFE.*          :   0.12%  辉瑞, mRNA疫苗, mRNA, 疫苗, 新冠, Paxlovid, 制药
Healthcare               SYK            :   0.11%  关节置换, 骨科治疗
Healthcare               ITCI.20        :   0.11%  精神分裂症, 双相情感障碍, 重度抑郁症, 抑郁症
Financial_Services       IVZ.++         :   0.11%  景顺, 投资管理
Healthcare               MTD            :   0.10%  精密仪器, 实验室仪器, 工业秤, 零售称重设备
Consumer_Cyclical        BWA.++         :   0.10%  汽车零部件供应商, 传动系统, 发动机
Real_Estate              ADC            :   0.10%  房地产投资信托, 物业收购开发管理
Technology               CCCS           :   0.09%  云服务, 赋能保险, 美国
Real_Estate              AMT            :   0.09%  无线广播通信基础设施, 分布式天线系统, 塔租赁
Communication_Services   PARA.*.++      :   0.09%  派拉蒙, 电视, 电影, 流媒体
Industrials              RTO.++         :   0.07%  害虫控制
Healthcare               ACHC           :   0.07%  精神疾病, 药物滥用
Consumer_Defensive       K.++           :   0.07%  家乐氏, 谷物早餐, 麦片, 品客薯片Pringles, 零食
Basic_Materials          TECK.20        :   0.07%  泰克资源, 加拿大, 炼钢煤, 冶金煤, 锌铜
Healthcare               VRNA.+         :   0.06%  生物制药, 慢性阻塞性肺病, 哮喘, 恩西芬特林, Ensifentrine, COPD, 医疗保健
Consumer_Cyclical        BFAM.++        :   0.06%  儿童早教, 幼儿园, 学前班, 保育, 教育, 学校
Consumer_Defensive       UL             :   0.05%  联合利华, 消费品, 多芬Dove, 力士Lux, 立顿Lipton, 奥妙Omo
Technology               PSN.19.+       :   0.05%  技术驱动, 国防, 情报, 关键基础设施
Healthcare               PODD.20        :   0.05%  银休特, 胰岛素泵, 医疗器械, OmniPod
Financial_Services       PFSI.++        :   0.05%  银行, 住宅抵押贷款
Technology               AZPN           :   0.05%  工业软件, 过程优化, 资产性能管理
Real_Estate              CBRE.++        :   0.05%  房地产, 商业地产, 物业, 租赁
Industrials              WAB            :   0.05%  制动系统, 铁路
Healthcare               ENSG           :   0.05%  长期护理, 辅助生活, 康复护理, 护理
Real_Estate              EQR            :   0.04%  房地产, 收购开发管理多户住宅租赁公寓, 投资信托
Financial_Services       TRV            :   0.04%  旅行者财产险, 保险
Industrials              FAST           :   0.04%  工业, 紧固件, 五金, 美国
Real_Estate              EGP            :   0.04%  工业领域, 房地产投资信托, 房地产
Utilities                D              :   0.04%  电力, 天然气, 能源
Healthcare               CAH            :   0.03%  卡地纳健康, 药品, 放射性药物, 药品分销, 医疗设备, 医疗器械, 医疗保健
Financial_Services       KKR.+          :   0.03%  股权投资, 私募, 投资管理, 能源基础设施
Communication_Services   FYBR.20        :   0.03%  通信服务, 宽带, 有线电视, 美国
Healthcare               ALKS           :   0.03%  制药, 生物技术, 精神分裂, 阿片成瘾, 抑郁症, 爱尔兰
Financial_Services       FCFS           :   0.03%  拉丁美洲, 典当, 小额贷款, 美国
Real_Estate              CUBE           :   0.02%  自助存储, 仓储租赁, 公共仓库, 房地产
Financial_Services       C.*.++         :   0.02%  花旗, 银行
Energy                   CRC.++         :   0.02%  加州资源, 石油, 天然气, 能源, 美国
Healthcare               BMRN.19.+      :   0.02%  拜玛林制药, 生物技术, 罕见遗传病
